text,percent
Ese que creó el tener que estrenar en diciembre tenía un mojón mental bien arrecho.,0.9
Esta nazi la noche pa ponerte hasta el pingaso,0.8
Me veo bien con lentes. (está olvidando que quedó ciega por la computadora) ,0.075
UN EJEMPLO DE SUPERACIÓN. ¡Qué alegría verte de nuevo disfrutando del fútbol con la  en #LaLigaSantander!,0
"Vaya para pendejo el delincuente con Alzheimer, ahora resulta que ya no ha sido tan de lujo el robo",0.775
"  Felicidades compañera magdalena siempre con ideas ignovadoras ,viva su inteligencia y belleza .",0.05
" Va a ser genial, ya estamos con el cachondeo por nuestro grupo con los personajes y aún no hemos ni empezado jajaja",0.325
"Así se robaron un automóvil Jetta color dorado en la calle Cañada casi con Bulevar Insurgentes, con esa facilidad, malditos ladrones",0.65
"Pajuo y cabrón  te #Censuraron por orden del sancionado , Yooo feliz",0.775
" Chupame el pene orto de mierda, bastardo malparido",0.975
"Ni bueno ni malo , un dia mediocre, como tiene que ser.",0.425
Y así el trimardito de Jesús Silva habla de expropiar la LVBP!!!,0.8
"Nuestro Primer Calzado, se fabrica al gusto del cliente al mayor y al detal.Para Contáctos: +58 414 5285127",0.025
 Yo me fui a comprar ropa y estaba sonando también esa vaina jaja,0.2
"#Migración. Cirujano venezolano gana premio en España.
",0
odio ser tan puntual porque la gente es re impuntual y me hacen dar bronca porque yo también tengo cosas que hacer,0.65
Eres un trimardito che jajajajajajaja,0.75
Hasta donde llegas desgraciada,0.875
"Cuando escriben esos parrafos larguisimos sobre Amor Propio Y Aceptación , pero el texto entero solo gira en torno a un hecho",0.025
q asco la gente infiel,0.525
yo: mamá por favor ya soy grande este año cumplo la mayoría de edad. also yo: NO QUIERO IR A LA UNIVERSIDAD ESTOY CHIQUITA,0.025
hoy me vine en cholitas al trabajo porque me dio la gana y por supuesto por el uñero que tengo en el mardito dedo gordo.,0.6
  Seguí de guevon!,0.575
"Motta Dominguez eres una BASURA 

De las peores plagas corruptas que ha tenido lo que se hace llamar ahorita chavismo",0.8
"Expresidentes y exjefes de Gobierno respaldan al presidente encargado de Venezuela, Juan Guaidó (Declaración)",0
Hay que ser guevon para no saber que el Guiso de Traki con el  régimen no es brutal,0.9
 :  El abogado que desde su cocina fundó la empresa de helados de mayor éxito en Estados Unidos #Emprendedores,0.05
Condenamos enérgicamente el ataque terrorista a la Escuela de la Policía General Santander en #Colombia. Nuestra solidaridad,0.025
 : que fea que soy hermanoooo,0.55
Excelente producto para la Caja de arena de tu gato! COMPRA el #AserrinProfondos y Ayúdanos! INFO por #WhatsApp ,0.075
"Marico de alma, mente y corazón ",0.85
 Que rica tienes la totona  me gustaria mamartela,1
 Todos son igualitos ...piaso club dice el infeliz ese y los jalabolas aplaudiendo.,0.825
¡Que alguien ya calle a este pendejo! ,0.675
"Perdonar, Es La Oportunidad que te ofrece la vida, para vengar el mal que te han hecho, y no hacerlo,  Por Cristo ",0.15
"mk no he empezado a leer eso, y ya me estoy muriendo del sueño",0.45
a continuación voy a subir los testimonios de varias pibas que me fueron llegando escrachando al machito enfermo,0.375
 Hay que ser muy necio (o engañado) para creer que Venezuela es una democracia,0.3
ENTÉRATE:  Niño palestino es asesinado por Israel por disparo en la cabeza - Resumen Latinoamericano ,0.15
 Buenas noches a qué hora abren esas nalgas ,0.95
"El ejercicio del liderazgo efectivo deriva de las red de relaciones, mucho más que de la persona que ocupa el rol de jefe",0.1
 El descubrimiento de agua líquida en Marte despierta el interés por hallar rastros de vida en ese planeta #Ciencia ,0
"Pasaron los días y no se hizo nada. Perdimos la oportunidad de aprovechar el ""coñazo"" que le dimos a la NARCOTIRANÍA y sus cabecillas",0.55
"Conferencia ""Género y deporte universitario"" en la Fac. de psicología de la UNAM  ",0
Qué vago enfermo por Dios que asco me das flaco.,0.825
"Al cancelar la reunión de trabajo con , el Director de  y otros funcionarios, solo evidencia miedo",0.275
"Jaja me acuerdo del ""querés que te traiga la foto del rapero ese así dejas de llorar?"" en medio del cine, la foto epica ",0.075
 *llora como estúpido*,0.625
  Carlos baute es un marico que salió besándose en la boca con un español en un programa de televisión en antena 3 que tal,0.9
"    La misma ""brutalidad"" de un poco de guevones encapuchados acabando con los estudiantes ",0.85
he disfrutado mucho con la parte de tu entrevista en vuestro último programa. Mucho. No imaginaba que era tan divertido ,0.05
"Recomiendo a los amantes de la lectura un buen libro: �uLa controversia entre Bolívar e Irving, el nacimiento de Venezuela""",0
" Posiblemente no sabe lo que es atender a un bebé porque, en su infancia, le hicieron creer que eso no importaba",0.1
"Fav si un tipo o más se te hicieron la paja en la cara, en la calle, sin tu consentimiento. Esto es un censo señores. RT.",0.775
"  Este tío es un enfermo, un troll provocador o ambas cosas",0.8
Alto ahí loca,0.925
"Yo tengo una suerte del carajo, no me da hambre en todo el día, llegó a la casa me como un pedazo de pizza y me intoxico ¡JODEEER!",0.55
"Las actividades competitivas desincentivarían el consumo de alcohol. Pero según el feminismo de género, incentivan la masculinidad",0.45
 HAHAHHAHAHAHA No seas pendejo ,0.65
Dice el diputado Elvin Santos que ya tiene el visto bueno de la directiva del Congreso Nacional para reconocer su bancada,0.025
Escuchame  porque coño das fav? Pero quien pollas eres que das fav a todo en lo que me menciona malparido,0.925
Toda idiota yo,0.55
"Gracias, gracias y más gracias maldito rebaño degenerado! Los amo mucho �e ",0.8
"Voy a amar toda la vida este deporte, es tan hermosoo ",0
Sábado en la noche:�e Sexo�e Fiesta�e Alcohol Desvelarse a lo Pendejo.,0.625
 ahuevo por perro,0.775
